Epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8448718190193176,0.44090884923934937,0.9030612111091614,0.32431769371032715,0.0010000000474974513
2,0.8538461327552795,0.41589197516441345,0.9030612111091614,0.31860920786857605,0.0010000000474974513
3,0.8538461327552795,0.4048769474029541,0.9030612111091614,0.3456437587738037,0.0010000000474974513
4,0.8538461327552795,0.38160353899002075,0.9030612111091614,0.2655390799045563,0.0010000000474974513
5,0.8538461327552795,0.36097127199172974,0.9030612111091614,0.269229531288147,0.0010000000474974513
6,0.8538461327552795,0.3503865897655487,0.9030612111091614,0.2690373957157135,0.0010000000474974513
7,0.8538461327552795,0.35709628462791443,0.9030612111091614,0.26664838194847107,0.0010000000474974513
8,0.8538461327552795,0.3476593792438507,0.9030612111091614,0.2617834508419037,0.0005000000237487257
9,0.8538461327552795,0.3357255160808563,0.9030612111091614,0.2652216851711273,0.0005000000237487257
10,0.8551282286643982,0.3410903513431549,0.9030612111091614,0.2767137885093689,0.0005000000237487257
11,0.8538461327552795,0.3355993926525116,0.9030612111091614,0.27306556701660156,0.0005000000237487257
12,0.8538461327552795,0.32815518975257874,0.9030612111091614,0.2730729579925537,0.0002500000118743628
13,0.8538461327552795,0.32986336946487427,0.9030612111091614,0.27288684248924255,0.0002500000118743628
14,0.8538461327552795,0.3309067487716675,0.9030612111091614,0.27428731322288513,0.0002500000118743628
15,0.8538461327552795,0.3277273178100586,0.9030612111091614,0.2732678949832916,0.0001250000059371814
16,0.8538461327552795,0.3486723303794861,0.9030612111091614,0.3146636486053467,0.0001250000059371814
17,0.8538461327552795,0.3634394705295563,0.9030612111091614,0.2613513469696045,0.0001250000059371814
18,0.8538461327552795,0.3494819402694702,0.9030612111091614,0.26516231894493103,0.0001250000059371814
19,0.8538461327552795,0.3411317467689514,0.9030612111091614,0.2648743689060211,0.0001250000059371814
20,0.8538461327552795,0.33276358246803284,0.9030612111091614,0.262279212474823,0.0001250000059371814
21,0.8538461327552795,0.33301660418510437,0.9030612111091614,0.2640955150127411,6.25000029685907e-05
22,0.8538461327552795,0.3268139958381653,0.9030612111091614,0.26671451330184937,6.25000029685907e-05
23,0.8538461327552795,0.33070164918899536,0.9030612111091614,0.2659149467945099,6.25000029685907e-05
24,0.8538461327552795,0.32505983114242554,0.9030612111091614,0.27019554376602173,3.125000148429535e-05
25,0.8538461327552795,0.3272148370742798,0.9030612111091614,0.27198556065559387,3.125000148429535e-05
26,0.8538461327552795,0.32836422324180603,0.9030612111091614,0.2726736068725586,3.125000148429535e-05
27,0.8538461327552795,0.32101741433143616,0.9030612111091614,0.27062761783599854,1.5625000742147677e-05
